106121	CH_Pfur_14_2017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.47948717948717945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106130	ET_Mcav_34_2017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4361702127659574	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106218	CH_Ofra_81_2018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2909049875874521	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106107	CH_Ofra_81_2017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2868741542625169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106112	CH_Cnat_05_2017	0	0	0	0	0	0	0	0	0.8373309817754263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106203	CH_Cnat_05_2018	0	0	0	0	0	0	0	0	0.8310647226556196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106222	ET_Cnat_61_2019	0	0	0	0	0	0	0	0	0.7967383761276892	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.014156835530881333	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106250	CH_Cnat_05_2019	0	0	0	0	0	0	0	0	0.7852878995149857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106171	WP_Pstr_66_2017	0	0	0	0	0	0	0	0	0	0.9843586075345733	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106270	WP_Pstr_68_2019	0	0	0	0	0	0	0	0	0	0.9393114491593274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106173	WP_Pstr_68_2017	0	0	0	0	0	0	0	0	0	0.9035858877964141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106232	ET_Pstr_42_2019	0	0	0	0	0	0	0	0	0	0.8994722292033174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106149	ET_Pstr_42_2017	0	0	0	0	0	0	0	0	0	0.884566672697666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106188	ET_Pstr_42_2018	0	0	0	0	0	0	0	0	0	0.8545315171885135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106194	ET_Dlab_62_2018	0	0	0	0	0	0	0	0	0	0	0.8161037557416915	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106156	ET_Dlab_62_2017	0	0	0	0	0	0	0	0	0	0	0.7953516819571866	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106207	CH_Dlab_50_2018	0	0	0	0	0	0	0	0	0	0	0.7138339279922153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02075900097307817	0	0	0	0	0	0	0	0	0	0	0	0
106153	CH_Dlab_50_2017	0	0	0	0	0	0	0	0	0	0	0.7073578595317727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106239	CH_Dlab_50_2019	0	0	0	0	0	0	0	0	0	0	0.6894681132574755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106213	ET_Dlab_62_2019	0	0	0	0	0	0	0	0	0.2974482698661102	0	0.5308207268301165	0	0	0	0	0	0	0	0	0	0	0.003347243957572596	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106276	WP_Ssid_59_2019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9777478782860691	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106219	CH_Ssid_46_2018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9581881533101045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106166	WP_Ssid_72_2017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9577792123950937	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106178	WP_Ssid_108_2017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9443964421855146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106105	CH_Ssid_46_2017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9430109149439163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106241	CH_Ssid_46_2019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9308822640140292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106186	WP_Ssid_77_2017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9264528756398674	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03206865401987353	0	0	0	0
106116	CH_Oann_80_2017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9932990081017642	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106243	CH_Oann_80_2019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9252360295993876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106212	CH_Oann_80_2018	0	0	0	0	0	0	0	0	0	0	0	0.031589826548036305	0	0	0	0	0	0	0	0	0	0	0	0.9199694436955155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106172	WP_Oann_67_2017	0	0	0	0.06729548340286595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7716306910937782	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106267	WP_Ofav_18_2019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7387202954399487	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106228	ET_Dlab_36_2019	0	0	0	0	0	0	0	0	0	0	0	0.7219419924337958	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106138	ET_Pfur_30_2017	0.9060573366214549	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.012099260172626386	0	0.0012330456226880395	0	0	0	0	0	0	0	0	0	0	0.005779901356350186	0	0	0	0	0	0
106122	CH_Pfur_15_2017	0.8969331079449409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106238	ET_Pfur_30_2019	0.6255041810132809	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10622233152975896	0	0.05698475159862272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106181	ET_Pfur_74_2017	0.4887193811774818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4389235066609368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106280	WP_Mcav_25_2019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9692140528793916	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106174	WP_Mcav_69_2017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9637845559196705	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106129	WP_Mcav_25_2017	0	0	0	0	0	0	0	0	0	0	0	0	0.012504752650923072	0	0	0	0	0	0	0	0	0	0	0	0.9573317561573232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106260	WP_Mcav_69_2019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9434910863152494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106192	ET_Dlab_37_2018	0	0	0	0	0	0	0	0	0	0	0	0	0.932888264230499	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03465390021082221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106141	ET_Dlab_37_2017	0	0	0	0	0	0	0	0	0	0	0	0	0.9104079407883413	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01930690228928797	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106263	WP_Ssid_45_2019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9847086500180963	0	0	0
106185	WP_Ssid_105_2017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.017328968164371187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9730751862722962	0	0	0
106137	WP_Cnat_31_2017	0	0	0	0	0	0	0	0	0	0.008190985799547232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9705289154146944	0	0	0
106248	WP_Cnat_31_2019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.017382599199126318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9507644703312704	0	0	0
106160	ET_Pfur_53_2017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7634165631002147	0	0.07833389824125335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106150	ET_Pfur_43_2017	0.18173499267935578	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6034498535871157	0	0.05540812591508053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106163	ET_Dlab_57_2017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8150727278643715	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106231	ET_Dlab_57_2019	0	0	0	0	0	0	0	0	0	0	0	0	0.022038731139360817	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7993940834026375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106245	CH_Ssid_07_2019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9042603216401768	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106114	CH_Ssid_07_2017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8211138603116725	0	0	0	0	0	0	0	0	0	0	0	0.08100013022528976	0	0	0	0
106120	WP_Oann_24_2017	0	0.718471725397671	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.24712687419133875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106275	WP_Ssid_72_2019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.967289490461478	0	0	0	0	0	0	0	0	0	0	0	0	0
106167	WP_Ssid_92_2017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9613836017569546	0	0	0	0	0	0	0	0	0	0	0	0	0
106209	CH_Mcav_49_2018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5663591199432221	0	0	0	0	0	0	0	0	0	0	0
106208	CH_Ssid_07_2018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9050901620634558	0	0	0	0	0	0	0	0	0	0
106187	WP_Ssid_107_2017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7097317004767691	0	0	0	0	0	0	0	0	0
106193	ET_Cnat_61_2018	0	0	0	0	0	0	0	0	0.36039053591790193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5362742303306727
106177	WP_Ssid_73_2017	0	0	0	0	0	0	0	0.0010865874363327672	0	0	0	0	0	0.004210526315789474	0	0	0.008081494057724957	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8978607809847199	0	0	0	0	0	0	0
106180	WP_Ssid_96_2017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8676042189854345	0.0593169261677549	0	0	0	0
106206	ET_Mcav_55_2018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106182	ET_Pfur_75_2017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106176	WP_Pfur_71_2017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106155	ET_Cnat_61_2017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106143	CH_Cnat_48_2017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106118	WP_Pfur_22_2017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106111	CH_Mcav_58_2017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sequence accession / SymPortal UID		29206-50006-891986	22385	29206	8181	4946-53205-693415-29495-698180-29395-89237	37844/891957-891960-891958-891967-891959-891961-891966-892008	4946-30321-29329-891946-891945-891944	4946	37844-891957-891960-891958-891959-891962-891961	4946-53205-89233-892001	4946-891991-89264-892021-29329	4946-29275	4946-891993-29329	29665	4946-693415-53205-29495	37844	892114	32-40213	3332/363069/40926-363072-363074-365324-32-363075	32-891943-80-1354-41-12353-71406-38269	891930-32-891931-80-8520-41		32-161-40213	3332/40926-363069-363072-363074	32-80-1354-41-12353-982-38269-71406		62862-19236-32-892071-892070	1	32	40124	32-80	32-161	32-161-80	32-2-828-308	2-32-308-4-835-833	44722	3332	32-2-4-1	32-41	32-2-4	853-854-1730-944-2582-2587	853-854-1730-2308-855-12730	853-854-1730-2308	853-854-1730-2582-944-2308-1768-2587-1759-2597-2594	853-854-1730-855-933-2332
Average defining sequence proportions and [stdev]		0.918[0.005]-0.045[0.004]-0.037[0.007]	1.000[0.000]	1.000[nan]	1.000[nan]	0.632[0.044]-0.095[0.013]-0.070[0.022]-0.055[0.022]-0.053[0.012]-0.048[0.011]-0.047[0.006]	0.264[0.021]/0.238[0.022]-0.121[0.027]-0.080[0.018]-0.072[0.013]-0.070[0.009]-0.059[0.010]-0.058[0.019]-0.039[0.018]	0.660[0.091]-0.159[0.046]-0.055[0.021]-0.045[0.018]-0.043[0.019]-0.039[0.015]	1.000[0.000]	0.418[0.042]-0.150[0.043]-0.123[0.057]-0.119[0.026]-0.091[0.013]-0.050[0.009]-0.049[0.013]	0.694[0.031]-0.184[0.029]-0.064[0.012]-0.058[0.017]	0.530[0.086]-0.207[0.023]-0.102[0.038]-0.101[0.041]-0.060[0.015]	0.973[0.018]-0.027[0.018]	0.717[0.021]-0.185[0.021]-0.098[0.005]	1.000[nan]	0.803[nan]-0.079[nan]-0.062[nan]-0.056[nan]	1.000[nan]	1.000[nan]	0.971[0.006]-0.029[0.006]	0.299[0.090]/0.238[0.062]/0.223[0.057]-0.097[0.026]-0.048[0.032]-0.035[0.015]-0.030[0.011]-0.028[0.009]	0.570[0.040]-0.133[0.052]-0.070[0.016]-0.062[0.007]-0.051[0.014]-0.042[0.005]-0.039[0.007]-0.033[0.005]	0.444[0.105]-0.198[0.057]-0.195[0.042]-0.080[0.034]-0.048[0.021]-0.035[0.008]	0.604[0.351]/0.396[0.351]	0.919[0.078]-0.058[0.084]-0.023[0.009]	0.322[0.046]/0.240[0.063]-0.238[0.052]-0.115[0.010]-0.085[0.004]	0.595[0.033]-0.080[0.012]-0.073[0.006]-0.071[0.019]-0.059[0.010]-0.046[0.010]-0.038[0.006]-0.038[0.007]	0.528[0.293]/0.472[0.293]	0.466[0.051]-0.326[0.019]-0.110[0.062]-0.051[0.012]-0.048[0.007]	1.000[0.000]	1.000[0.000]	1.000[0.000]	0.921[0.021]-0.079[0.021]	0.597[0.022]-0.403[0.022]	0.941[nan]-0.043[nan]-0.016[nan]	0.741[nan]-0.193[nan]-0.034[nan]-0.033[nan]	0.631[nan]-0.174[nan]-0.141[nan]-0.030[nan]-0.015[nan]-0.009[nan]	1.000[nan]	1.000[nan]	0.782[nan]-0.189[nan]-0.023[nan]-0.007[nan]	0.933[nan]-0.067[nan]	0.911[nan]-0.082[nan]-0.007[nan]	0.597[0.042]-0.200[0.017]-0.114[0.018]-0.036[0.017]-0.035[0.015]-0.019[0.012]	0.592[0.029]-0.210[0.007]-0.103[0.019]-0.037[0.005]-0.032[0.010]-0.027[0.003]	0.611[nan]-0.223[nan]-0.116[nan]-0.049[nan]	0.532[nan]-0.180[nan]-0.098[nan]-0.039[nan]-0.035[nan]-0.033[nan]-0.026[nan]-0.024[nan]-0.014[nan]-0.011[nan]-0.008[nan]	0.640[nan]-0.212[nan]-0.082[nan]-0.024[nan]-0.022[nan]-0.019[nan]
